date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,otm_ce_entry,otm_pe_entry,otm_ce_exit,otm_pe_exit,otm_pnl,num_sl_events,scaled_lots,iv_at_entry
2023-11-28,2023-11-28T09:17:00+05:30,2023-11-28T15:15:00+05:30,358.0,103.9,44.15,79.65,48.15,148.05,2025.0,121.32,1903.68,Time Exit (15:15),2,12.21,19822.85,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.268915758584543
2023-12-08,2023-12-08T09:17:00+05:30,2023-12-08T15:15:00+05:30,358.0,141.2,93.05,142.8,74.3,234.25,1715.0,137.98,1577.02,Time Exit (15:15),4,12.69,20952.1,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.257053554588543
2023-12-15,2023-12-15T09:17:00+05:30,2023-12-15T15:15:00+05:30,358.0,166.9,74.0,163.75,88.1,240.9,-1095.0,141.08,-1236.08,Time Exit (15:15),4,12.28,21276.05,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.69938623142447
2023-12-22,2023-12-22T09:17:00+05:30,2023-12-22T15:15:00+05:30,358.0,153.55,121.3,164.5,94.95,274.85,1540.0,145.83,1394.17,Time Exit (15:15),3,13.93,21275.95,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,16.98324404886484
2023-12-26,2023-12-26T09:17:00+05:30,2023-12-26T15:15:00+05:30,358.0,129.95,87.6,106.25,77.05,217.54999999999998,3425.0,133.66,3291.34,Time Exit (15:15),2,14.56,21363.75,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.439095917354825
2023-12-29,2023-12-29T09:17:00+05:30,2023-12-29T15:15:00+05:30,358.0,187.4,126.55,156.25,117.2,313.95,4050.0,151.65,3898.35,Time Exit (15:15),4,15.29,21721.1,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.105777074947405
2024-01-10,2024-01-10T09:17:00+05:30,2024-01-10T15:15:00+05:30,358.0,78.1,80.0,91.05,35.2,158.1,3185.0,122.47,3062.53,Time Exit (15:15),1,13.48,21552.05,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,13.708302714318895
2024-02-12,2024-02-12T09:17:00+05:30,2024-02-12T15:15:00+05:30,358.0,167.95,133.2,148.65,137.0,301.15,1550.0,150.85,1399.15,Time Exit (15:15),3,16.13,21765.9,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.953184601176625
2024-02-13,2024-02-13T09:17:00+05:30,2024-02-13T15:15:00+05:30,358.0,140.4,127.0,115.8,103.75,267.4,4785.0,142.28,4642.72,Time Exit (15:15),2,16.31,21663.55,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,16.590814614964394
2024-02-20,2024-02-20T09:17:00+05:30,2024-02-20T15:15:00+05:30,358.0,109.95,143.6,107.95,114.0,253.55,3160.0,140.71,3019.29,Time Exit (15:15),2,16.2,22079.05,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,14.609211095252594
2024-03-11,2024-03-11T09:17:00+05:30,2024-03-11T15:15:00+05:30,358.0,138.15,120.0,142.75,100.75,258.15,1465.0,142.7,1322.3,Time Exit (15:15),3,14.42,22510.5,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,12.63270977980213
2024-03-12,2024-03-12T09:17:00+05:30,2024-03-12T15:15:00+05:30,358.0,121.85,97.25,114.8,88.75,219.1,1555.0,135.19,1419.81,Time Exit (15:15),2,14.06,22341.75,False,1,25,4,100,250000,0.0,0.0,0.0,0.0,0.0,2,1,15.139581869288165
